SEANCE_DT, POINT_DT, ORBIT, WKT, HEIGHT, POINT_TYPE
"2019-03-12 06:14:24", "2019-03-12 06:15:13", 5793, "POINT(29.2766 53.9647)", -18.83, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:13", 5793, "POINT(-9.9035 62.9353)", -18.83, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:15", 5793, "POINT(29.3555 54.0593)", -18.15, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:15", 5793, "POINT(-10.1405 63.0648)", -18.15, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:17", 5793, "POINT(29.4345 54.1535)", -17.46, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:17", 5793, "POINT(-10.3847 63.1937)", -17.46, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:19", 5793, "POINT(29.5141 54.2480)", -16.77, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:19", 5793, "POINT(-10.6388 63.3230)", -16.77, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:21", 5793, "POINT(29.5939 54.3421)", -16.08, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:21", 5793, "POINT(-10.9010 63.4515)", -16.08, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:24", 5793, "POINT(29.6744 54.4365)", -15.38, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:24", 5793, "POINT(-11.1745 63.5805)", -15.38, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:26", 5793, "POINT(29.7553 54.5308)", -14.68, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:26", 5793, "POINT(-11.4588 63.7093)", -14.68, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:28", 5793, "POINT(29.8362 54.6246)", -13.98, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:28", 5793, "POINT(-11.7533 63.8373)", -13.98, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:30", 5793, "POINT(29.9179 54.7188)", -13.27, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:30", 5793, "POINT(-12.0617 63.9655)", -13.27, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:32", 5793, "POINT(29.9997 54.8125)", -12.57, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:32", 5793, "POINT(-12.3822 64.0929)", -12.57, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:34", 5793, "POINT(30.0823 54.9065)", -11.86, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:34", 5793, "POINT(-12.7191 64.2205)", -11.86, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:36", 5793, "POINT(30.1649 55.0000)", -11.15, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:36", 5793, "POINT(-13.0706 64.3471)", -11.15, "OCCULTATION"
